region,year,full_circle_mln_rub,bez_MP_mln_rub,ratio
российская федерация,2010,9152096.0,9151410.5,1.0
российская федерация,2013,13450238.2,13255537.0,0.986
российская федерация,2016,14748846.9,14639835.0,0.993
российская федерация,2017,16027302.0,12256313.3,0.765
российская федерация,2020,20393742.4,15441363.5,0.757
российская федерация,2023,34038863.0,26803103.1,0.787
белгородская область,2010,96313.0,65104.1,0.676
белгородская область,2013,129405.2,82790.2,0.64
белгородская область,2016,143791.8,89337.8,0.621
белгородская область,2017,142692.8,82846.9,0.581
белгородская область,2020,169508.1,104548.9,0.617
белгородская область,2023,212189.0,138932.8,0.655
москва,2010,732760.6,543779.3,0.742
москва,2013,1413093.7,1002785.5,0.71
москва,2016,1712239.4,1284079.2,0.75
москва,2017,2007707.7,1424870.2,0.71
москва,2020,3839394.4,2736911.0,0.713
москва,2023,7154321.0,5476907.3,0.766
тюменская область,2010,1049693.3,912540.5,0.869
тюменская область,2013,1566733.6,1433369.1,0.915
тюменская область,2016,2132093.8,2047727.9,0.96
тюменская область,2017,2291140.9,2186609.5,0.954
тюменская область,2020,2298102.0,2201825.4,0.958
тюменская область,2023,3382661.0,3202751.7,0.947
республика татарстан,2010,328943.9,213628.3,0.649
республика татарстан,2013,525730.4,322327.6,0.613
республика татарстан,2016,636494.1,341206.9,0.536
республика татарстан,2017,637611.7,351567.0,0.551
республика татарстан,2020,615593.4,396636.3,0.644
республика татарстан,2023,1180448.0,920576.3,0.78
краснодарский край,2010,589623.0,400190.1,0.679
краснодарский край,2013,955208.1,717558.2,0.751
краснодарский край,2016,435095.3,322582.4,0.741
краснодарский край,2017,503243.0,391852.0,0.779
краснодарский край,2020,518216.9,354920.4,0.685
краснодарский край,2023,869790.0,649858.8,0.747
свердловская область,2010,264461.6,158466.5,0.599
свердловская область,2013,352916.4,247647.9,0.702
свердловская область,2016,328402.5,231689.5,0.706
свердловская область,2017,320111.1,239872.6,0.749
свердловская область,2020,416956.4,301834.4,0.724
свердловская область,2023,707737.0,515572.6,0.728
новосибирская область,2010,115014.7,67369.5,0.586
новосибирская область,2013,183997.9,117284.3,0.637
новосибирская область,2016,163058.5,89350.7,0.548
новосибирская область,2017,175608.7,97145.0,0.553
новосибирская область,2020,265705.9,157649.6,0.593
новосибирская область,2023,391356.0,228488.9,0.584
приморский край,2010,208208.6,183845.9,0.883
приморский край,2013,123061.2,90175.6,0.733
приморский край,2016,130499.7,96310.9,0.738
приморский край,2017,130934.5,98261.6,0.75
приморский край,2020,229460.5,143360.5,0.625
приморский край,2023,403855.0,342169.5,0.847
