region_std,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
алтайский край,30751.3,35962.3,47867.1,49446.7,48113.8,52607.7,43937.2,42033.4,48555.8,61918.3,65238.3,69327.9,70348.7,81448.5,103036.4,136516.0
амурская область,56097.1,72452.5,113020.2,104093.9,91503.3,68237.7,95422.3,120146.0,182239.2,239558.9,331129.9,334068.3,384301.9,448890.9,693567.2,886536.5
архангельская область,63282.8,73836.0,122139.6,149210.9,143411.9,138458.2,155877.2,154383.5,194847.4,173797.2,169615.9,174681.1,156044.0,163622.2,181409.7,201531.1
архангельская область без автономного округа,,,,,84028.8,60088.6,42011.3,69009.5,88537.2,83475.2,73656.4,85477.9,81678.1,82659.9,97802.6,92856.1
астраханская область,48479.6,42835.7,51094.8,64399.3,102058.2,96274.4,91581.1,97263.5,126025.3,93799.5,87344.0,94170.7,75883.3,74354.9,72499.5,92845.9
белгородская область,51397.8,65104.1,79420.9,86655.2,82790.2,74745.8,91646.6,89337.8,82846.9,76943.6,102160.1,104548.9,104972.3,129565.2,138932.8,166707.8
брянская область,19985.6,31983.4,37047.1,31436.2,46036.3,49783.4,43291.0,53207.1,39452.7,43625.0,49207.6,58801.6,67791.8,70934.8,79355.7,99789.4
в том числе ненецкий автономный округ,34841.6,38904.6,43133.4,58868.9,,,,,,,,,,,,
владимирская область,36553.1,31919.8,41765.6,44754.4,48438.7,53859.8,46808.4,43826.7,49811.7,48448.6,61362.9,66836.6,81964.1,153569.2,151846.4,110706.1
волгоградская область,52987.2,57884.7,82513.2,108125.5,107057.0,142972.1,149905.3,130953.3,144153.5,124477.7,128882.5,128574.4,129300.0,159759.5,225010.3,290278.7
вологодская область,48769.2,55384.0,108432.7,141549.6,64561.3,58887.3,68087.9,95622.0,111854.8,120129.2,164287.0,173765.6,166736.5,134234.9,134985.6,198641.7
воронежская область,61305.9,90430.4,114181.0,129661.4,146184.2,161718.5,177880.2,182574.4,180727.1,177099.6,196900.1,163586.3,184765.1,224067.1,245919.4,231100.4
дальневосточный федеральный округ,586096.9,675204.3,927545.3,872251.3,722303.6,719869.1,806972.7,903058.1,1040431.3,1304658.1,1487938.1,1440824.6,1784727.6,2306094.6,3189965.0,3746861.4
еврейская автономная область,6202.7,14822.4,21483.9,21088.2,11365.9,8720.4,10643.7,11544.8,9522.1,15205.1,14031.4,14205.9,14345.3,17540.7,27043.6,28749.0
забайкальский край,33928.3,34938.8,43551.8,60161.9,46118.7,64956.0,71800.0,81842.1,93617.9,82118.5,87588.0,118255.0,153141.6,178782.4,295556.0,273805.5
ивановская область,20387.5,18537.9,22910.4,17739.2,20906.1,18590.1,12660.5,11524.6,13651.4,13873.6,19319.7,23430.1,22681.3,30372.6,35836.2,36732.3
иркутская область,91244.3,100248.3,133996.7,152666.2,156532.1,167095.0,162852.6,198690.1,223846.5,264261.2,305979.5,333005.9,451955.8,779284.8,809267.3,904579.5
кабардино - балкарская республика,9762.7,9415.6,9661.7,12601.9,9706.7,11271.9,15413.3,14918.1,15714.8,16123.5,20034.7,23666.6,23608.5,26212.9,30664.0,34848.8
калининградская область,43549.9,39661.1,46449.3,49298.2,50581.6,47643.1,51610.2,72172.1,112075.8,120608.5,77066.6,76738.4,71033.9,102371.0,162938.1,184452.1
калужская область,49324.9,47260.1,48301.1,72625.5,71632.4,79957.5,69306.3,67639.5,73562.9,75439.3,90551.4,93598.6,111284.8,115139.1,110599.1,128216.2
камчатский край,22669.5,27762.4,26194.5,28732.6,24219.3,17792.1,16209.9,31190.1,32729.2,29619.4,37340.8,49029.6,66543.7,80108.9,120040.2,93941.3
карачаево - черкесская республика,6444.0,5649.6,9408.0,14339.9,15555.6,16934.5,13685.1,15792.7,12633.8,15728.6,17460.2,15507.1,21962.1,24587.8,21494.0,18933.3
кемеровская область,75771.5,93802.8,137175.7,176740.7,140350.8,164603.7,115932.4,111025.8,149498.8,182844.1,223665.6,214157.1,263493.1,298060.9,342761.2,372202.8
кировская область,23121.9,23235.3,26996.3,35187.1,39683.3,40060.6,39761.0,42565.0,40390.0,40468.7,54839.8,47862.1,52048.4,59211.6,80824.2,103955.1
костромская область,8773.2,9941.4,11510.5,14120.0,14519.3,19619.5,17820.9,17091.1,13564.3,14243.7,17265.0,18932.7,34509.2,29077.9,37197.4,35134.8
краснодарский край,260388.4,400190.1,507926.1,602256.0,717558.2,594880.1,457745.2,322582.4,391852.0,386846.4,328950.2,354920.4,394101.0,517539.6,649858.8,899408.4
красноярский край,209990.1,214680.7,251440.0,328853.6,327241.1,312158.7,356190.3,381779.0,375228.4,380076.6,380977.2,426691.8,529934.2,676473.3,846647.1,1020217.4
крымский федеральный округ,,,,,,14908.5,31621.4,,,,,,,,,
