region_std,activity,share_2010,share_2011,share_avg_2010_2011,mln_rub_2010,mln_rub_2011
алтайский край,гостиницы и рестораны,0.000706295203588202,0.0006121114502445313,0.0006592033269163666,25.4,29.3
алтайский край,государственное управление и обеспечение военной безопасности; социальное страхование,0.04115420871301335,0.038193247554165595,0.03967372813358947,1480.0,1828.2
алтайский край,добыча полезных ископаемых,0.04995509186008681,0.03329844506978698,0.04162676846493689,1796.5,1593.9
алтайский край,здравоохранение и предоставление социальных услуг,0.06753183194623258,0.07574722512957753,0.07163952853790506,2428.6,3625.8
алтайский край,из них связь,0.0652099559816808,0.07467132957709993,0.06994064277939037,2345.1,3574.3
алтайский край,обрабатывающие производства,0.12067359429180001,0.16953189142438127,0.14510274285809063,4339.7,8115.0
алтайский край,образование,0.027284128100816686,0.04307551533307846,0.03517982171694757,981.2,2061.9
алтайский край,"операции с недвижимым имуществом, аренда и предоставление услуг",0.1569532538241436,0.10584932030559611,0.13140128706486986,5644.4,5066.7
алтайский край,"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",0.047747224176429195,0.03511179912716668,0.04142951165179794,1717.1,1680.7
алтайский край,"предоставление прочих коммунальных, социальных и персональных услуг",0.019601082244461557,0.0230158083527099,0.021308445298585728,704.9,1101.7
алтайский край,"производство и распределение электроэнергии, газа и воды",0.09743815050761491,0.10081872517867177,0.09912843784314335,3504.1,4825.9
алтайский край,"рыболов-ство, рыбоводство",2.7806897779063075e-06,3.13367636643958e-05,1.7058726721151052e-05,0.1,1.5
алтайский край,"сельское хозяйство, охота и лесное хозяйство",0.14223506282968554,0.16399781896124896,0.15311644089546725,5115.1,7850.1
алтайский край,строи-тельство,0.023377258962858326,0.014513099811770508,0.018945179387314416,840.7,694.7
алтайский край,транспорт и связь,0.18510773782544496,0.1836898412479553,0.18439878953670014,6656.9,8792.7
алтайский край,финансовая деятельность,0.020235079513824198,0.012513814289982056,0.016374446901903126,727.7,599.0
