edition,table,year,region,value_thous_rub,raw,is_dash,is_no_data,footnotes
2014,Т_4.5._Объем субсидий_МЭР,2012,Российская Федерация,20800000.0,20800000,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2013,Российская Федерация,19815041.8,19815041.8,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2012,Центральный федеральный округ,5622062.990999999,5622062.990999999,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2013,Центральный федеральный округ,4656624.450999999,4656624.450999999,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2012,Белгородская область,335644.896,335644.896,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2013,Белгородская область,258131.023,258131.023,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2012,Брянская область,325777.78,325777.78,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2013,Брянская область,528056.966,528056.966,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2012,Владимирская область,292591.06,292591.06,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2013,Владимирская область,197976.0,197976,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2012,Воронежская область,371397.5,371397.5,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2013,Воронежская область,250666.69,250666.69,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2012,Ивановская область,243786.856,243786.856,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2013,Ивановская область,304549.0,304549,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
2014,Т_4.5._Объем субсидий_МЭР,2012,Калужская область,163353.987,163353.987,False,False,1) Значения показателей сформированы Минэкономразвития России на основе отчетов уполномоченных органов исполнительной власти субъектов Российской Федерации о реализации мероприятий по поддержке субъектов малого и среднего предпринимательства в рамках постановления Правительства Российской Федерации от 27 февраля 2009 г. № 178.
