year,USDRUB_cbr_avg_of_set_dates,USDRUB_n_obs,Brent_rub_per_bbl_EIA_x_USDRUB,USDRUB_cbr_avg_calendar_days,EURRUB_cbr_avg_of_set_dates,EURRUB_n_obs,EURRUB_cbr_avg_calendar_days,Brent_EIA_RBRTE_usd_bbl,Brent_WB_CMO_usd_bbl,Brent_rub_per_bbl_EIA_x_USDRUB
2009,31.7669,249.0,1961.2875,31.7231,44.1987,249.0,44.1299,61.74,61.8622,1961.2875
2010,30.3765,249.0,2418.2765,30.3692,40.2157,249.0,40.298,79.61,79.6356,2418.2765
2011,29.3948,249.0,3270.4685,29.3874,40.9038,249.0,40.8848,111.26,110.9399,3270.4685
2012,31.0742,249.0,3468.8098,31.093,39.9083,249.0,39.9524,111.63,111.9656,3468.8098
2013,31.9063,246.0,3463.7485,31.848,42.4001,246.0,42.3129,108.56,108.8564,3463.7485
2014,38.6025,247.0,3820.4863,38.4217,50.9928,247.0,50.815,98.97,98.9375,3820.4863
2015,61.3194,247.0,3208.2328,60.9579,67.9915,247.0,67.7767,52.32,52.37,3208.2328
2016,66.8335,248.0,2916.6127,67.0349,73.9924,248.0,74.231,43.64,44.0475,2916.6127
2017,58.2982,247.0,3155.6807,58.3529,66.0305,247.0,65.9014,54.13,54.3925,3155.6807
2018,62.9264,247.0,4489.1686,62.7078,74.133,247.0,73.9546,71.34,71.0717,4489.1686
2019,64.6184,246.0,4154.9652,64.7362,72.3187,246.0,72.5021,64.3,64.0317,4154.9652
2020,72.323,243.0,3034.6732,72.1464,82.8358,243.0,82.4488,41.96,42.3,3034.6732
2021,73.6685,248.0,5220.1527,73.6541,87.0861,248.0,87.1877,70.86,70.4433,5220.1527
2022,68.3522,247.0,6898.7841,68.5494,72.1509,247.0,72.5259,100.93,99.8242,6898.7841
2023,85.8116,247.0,7078.5965,85.2466,92.8741,247.0,92.2406,82.49,82.6162,7078.5965
2024,92.6567,248.0,7460.72,92.5652,100.2801,248.0,100.2154,80.52,80.6987,7460.72
