region,GVA_total_pct,mining_C_share_pct
Российская Федерация из суммы субъектов,100.00000000000001,10.4
Центральный федеральный округ,100.00000000000001,0.8
Белгородская область,100,16.8
Брянская область,100.00000000000003,0.1
Владимирская область,100.00000000000001,0.4
Воронежская область,100.00000000000001,0.5
Ивановская область,100.00000000000001,0.2
Калужская область,100.00000000000001,0.4
Костромская область,100,0.1
Курская область,100,12.1
Липецкая область,99.99999999999997,0.8
Московская область,100,0.2
Орловская область,100,0.1
Рязанская область,100,0.3
Смоленская область,100.00000000000003,0.4
Тамбовская область,100.00000000000001,0
Тверская область,100.00000000000001,0.1
Тульская область,100,0.3
Ярославская область,99.99999999999999,0.1
г.Москва,100.00000000000001,0
Северо-Западный федеральный округ,100,7.7
Республика Карелия,100,12.8
Республика Коми,99.99999999999999,33.5
Архангельская область,99.99999999999999,31.200000000000003
в т.ч. Ненецкий автономный округ,99.99999999999999,78.6
Вологодская область,100,0
Калининградская область,100,5.9
Ленинградская область,100,0.9
Мурманская область,99.99999999999997,15.2
Новгородская область,100,0.2
Псковская область,100,0.2
г.Санкт-Петербург,100,0
Южный федеральный округ,99.99999999999997,1.9
Республика Адыгея,100,0.7
Республика Калмыкия,100,3.4
Краснодарский край,100.00000000000001,0.8
Астраханская область,100,3.5
Волгоградская область,100,5.6
Ростовская область,99.99999999999997,0.9
Северо-Кавказский федеральный округ,100,0.8
Республика Дагестан,100.00000000000001,0.5
Республика Ингушетия,100.00000000000001,1.9
Кабардино-Балкарская,100,0.1
Карачаево-Черкесская .,99.99999999999999,1.7
Северная Осетия-Алания,100,0.3
Чеченская Республика,100,2.7
Ставропольский край,100,0.8
Приволжский федеральный округ,100.00000000000001,12.2
Республика Башкортостан,100.00000000000001,8.8
Республика Марий Эл,100.00000000000001,0.1
Республика Мордовия,100,0.1
Республика Татарстан,100,21.599999999999998
Удмуртская Республика,100,23.4
Чувашская Республика,100,0.1
Пермский край,99.99999999999999,13.5
Кировская область,100,0.3
Нижегородская область,100,0.1
Оренбургская область,99.99999999999999,35.9
Пензенская область,99.99999999999999,0.6
Самарская область,99.99999999999999,11.9
Саратовская область,100,2.8
Ульяновская область,100,2.1
Уральский федеральный округ,100,32.9
Курганская область,100,0.8
Свердловская область,100.00000000000003,3
Тюменская область,100.00000000000001,49.900000000000006
в т.ч. Ханты-Мансийский автономный округ,100,63
Ямало-Ненецкий автономный округ,100.00000000000001,47.9
Челябинская область,100,1.2
Сибирский федеральный округ,100,13.9
Республика Алтай,100,1.1
Республика Тыва,100,6.9
Республика Хакасия,99.99999999999997,15.4
Алтайский край,99.99999999999999,0.9
Красноярский край,99.99999999999999,18.1
Иркутская область,100,7.5
Кемеровская область-Кузбасс,100.00000000000003,31.4
Новосибирская область,100,2.5
Омская область,100,1
Томская область,99.99999999999999,23.9
Дальневосточный федеральный округ,100,22.5
Республика Бурятия,100,4.9
Республика Саха (Якутия),100.00000000000001,40.1
Забайкальский край,100.00000000000001,12.8
Камчатский край,99.99999999999999,4.1
Приморский край,100,1.1
Хабаровский край,100.00000000000001,4.5
Амурская область,100,10.2
Магаданская область,100,20.6
Сахалинская область,100,59.3
Еврейская автономная  область,100,0.3
Чукотский автономный округ,100,38.2
