snapshot_date,level,name,n_msp_total,n_ul,n_ip,workers_total,workers_ul_micro,workers_ul_small,workers_ul_medium,workers_ip_total
2016-08-01,RF,Российская Федерация,5523765,2594355,2929410,,,,,
2016-08-01,FO,Центральный федеральный округ,1636987,899171,737816,,,,,
2016-08-01,region,Белгородская область,59023,19955,39068,,,,,
2016-08-01,region,Брянская область,39986,12696,27290,,,,,
2016-08-01,region,Владимирская область,51648,18670,32978,,,,,
2016-08-01,region,Воронежская область,80650,35269,45381,,,,,
2016-08-01,region,Ивановская область,39757,19333,20424,,,,,
2016-08-01,region,Калужская область,38398,13896,24502,,,,,
2016-08-01,region,Костромская область,24263,9363,14900,,,,,
2016-08-01,region,Курская область,34699,11199,23500,,,,,
2016-08-01,region,Липецкая область,37394,13285,24109,,,,,
2016-08-01,region,Московская область,276102,120688,155414,,,,,
2016-08-01,region,Орловская область,25199,8673,16526,,,,,
2016-08-01,region,Рязанская область,39796,17730,22066,,,,,
2016-08-01,region,Смоленская область,35602,15933,19669,,,,,
2016-08-01,region,Тамбовская область,30509,10248,20261,,,,,
2016-08-01,region,Тверская область,44761,20178,24583,,,,,
2016-08-01,region,Тульская область,52476,20929,31547,,,,,
2016-08-01,region,Ярославская область,51879,26988,24891,,,,,
2016-08-01,region,г.Москва,674845,504138,170707,,,,,
2016-08-01,FO,Северо-Западный федеральный округ,629902,357442,272460,,,,,
2016-08-01,region,Республика Карелия,24813,12126,12687,,,,,
2016-08-01,region,Республика Коми,30072,11384,18688,,,,,
2016-08-01,region,Архангельская область,37828,13212,24616,,,,,
2016-08-01,region,Вологодская область,48765,23801,24964,,,,,
2016-08-01,region,Калининградская область,55361,31681,23680,,,,,
2016-08-01,region,Ленинградская область,49165,16502,32663,,,,,
2016-08-01,region,Мурманская область,25884,11423,14461,,,,,
2016-08-01,region,Новгородская область,20869,7752,13117,,,,,
2016-08-01,region,Псковская область,20662,8940,11722,,,,,
2016-08-01,region,г.Санкт-Петербург,316483,220621,95862,,,,,
2016-08-01,FO,Южный федеральный округ,569388,172704,396684,,,,,
2016-08-01,region,Республика Адыгея (Адыгея),16094,3655,12439,,,,,
2016-08-01,region,Республика Калмыкия,8667,1508,7159,,,,,
2016-08-01,region,Краснодарский край,267092,76905,190187,,,,,
