region,okato_or_blank,first_centre_open_date,date_precision,city,predecessor_COU_date,renamed_or_new,source_url,source_name,source_type,quote,confidence,notes,check_25_09_2026
Республика Адыгея,79,2019-11-18,day,Майкоп,,new,https://www.yuga.ru/news/446153/,Юга.ру,regional_media,Глава Адыгеи Мурат Кумпилов 18 ноября во время совещания с сотрудниками центра...; «И открытый центр — важное связующее звено всей системы господдержки»,medium,"Официальное открытие также: https://cpp01.ru/events/otkrytie-centra-moj-biznes (18.11.2019, «Сегодня состоялось официальное открытие центра «Мой бизнес» в Адыгее»).",date_found_on_source_page
Республика Алтай,84,2020,year,Горно-Алтайск,,,https://altai-republic.ru/economy_finances/tsentr-moy-biznes/,Правительство Республики Алтай,official,,low,"Дата (2020 г.) только по поисковому сниппету страницы правительства РА; точная дата не найдена. Адрес: Комсомольская, 9.",not_checked (precision month/year or no date)
Республика Башкортостан,80,2019-05-25,day,Уфа,,new,https://www.bashinform.ru/news/economy/2019-05-25/v-ufe-zarabotali-tsentr-moy-biznes-i-biznes-inkubator-fabrika-buduschego-2125822,Башинформ,regional_media,"В Уфе 25 мая в бизнес-центре «Книжка» по улице Мира, 14 открылся центр для предпринимателей «Мой бизнес».",medium,"Возможно, муниципальный (городской) центр; республиканский центр «Мой бизнес» (Фонд развития и поддержки МБ РБ) открыт 04.09.2019 в Конгресс-холле «Торатау» (fondmb.ru; ufatime.ru 05.09.2019). Башкортостан нет в списках МЭР за 2018–Н1 2019.",date_found_on_source_page
Республика Бурятия,81,2018-12-20,day,Улан-Удэ,,new,https://egov-buryatia.ru/press_center/news/detail.php?ID=172947,Правительство Республики Бурятия,official,"«Мой бизнес» Бурятии открылся пять лет назад - 20 декабря 2018 года, и стал первым центром предпринимательства, который открылся на территории Дальневосточного федерального округа.",high,"МЭР: в списке субъектов, где центры открыты до 01.01.2019.",date_found_on_source_page
Республика Дагестан,82,2019-12-29,day,Махачкала,,new,https://tass.ru/nacionalnye-proekty/7443917,ТАСС,federal_media,"В Дагестане открылся центр ""Мой бизнес"" для поддержки МСП (заголовок)",medium,Дата 29.12.2019 (воскресенье) по поисковому сниппету статьи ТАСС; страница ТАСС недоступна для прямого чтения.,date_NOT_found_on_page (snippet/headline-based)
Республика Ингушетия,26,2019,year,Назрань,,new,https://companies.rbc.ru/id/1190608002111-avtonomnaya-nekommercheskaya-organizatsiya-moj-biznes/,РБК Компании (ЕГРЮЛ),federal_media,,low,"Найдена только регистрация АНО «Мой бизнес» (ОГРН 1190608002111, 30.05.2019); новость об открытии центра не найдена. Дата = год создания оператора.",not_checked (precision month/year or no date)
Кабардино-Балкарская Республика,83,2018,year,Нальчик,2017-12-29,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Точная дата не найдена. ЦОУ Корпорации МСП на базе Россельхозбанка открыт 29.12.2017, офис МФЦ для бизнеса в Нальчике — ноябрь 2017 (по сниппету mfckbr.ru, не верифицировано).",not_checked (precision month/year or no date)
Республика Калмыкия,85,2018,year,Элиста,,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Поисковый сниппет также упоминает работу центра «с августа 2019» (Дом предпринимателя, Лермонтова 7а) — противоречие не разрешено.",not_checked (precision month/year or no date)
Карачаево-Черкесская Республика,91,,,Черкесск,,,https://www.rusprofile.ru/id/1210900002950,Rusprofile (ЕГРЮЛ),regional_media,,low,"Дата открытия не найдена. АНО «Центр «Мой бизнес» КЧР» зарегистрирована 10.12.2021 (вероятно, смена оператора; сам центр мог работать раньше на базе Минэкономразвития КЧР/ЦПП). Искали: «Черкесск центр Мой бизнес открылся», «КЧР открытие центра Мой бизнес 2019/2020».",not_checked (precision month/year or no date)
Республика Карелия,86,2019-12,month,Петрозаводск,,new,https://karel.mk.ru/economics/2019/11/26/v-petrozavodske-poyavitsya-centr-moy-biznes.html,МК в Карелии,regional_media,"В Петрозаводске появится центр ""Мой бизнес"" (заголовок, 26.11.2019)",medium,"Открытие в начале декабря 2019 по поисковым сниппетам (наб. Гюллинга, 11; 77,4 млн руб.); см. также tass.ru/msp/7085888.",not_checked (precision month/year or no date)
Республика Коми,87,2019,year,Сыктывкар,,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,medium,"МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019. Оператор — АНО РК «Центр развития предпринимательства» (Ленина, 74). Точная дата не найдена.",not_checked (precision month/year or no date)
Республика Крым,35,2018-04-18,day,Симферополь,,renamed,https://frbk.ru/v-krimu-poyavilsya-ediniy-centr-dlya-bizn/,Фонд поддержки предпринимательства Крыма,official,"«В Крыму появился единый центр для бизнеса» (заголовок); торжественное открытие «Дома предпринимателя» 18 апреля, ул. Севастопольская, 20а",low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Дата — открытие «Дома предпринимателя» (единое окно), позднее вошедшего в систему «Мой бизнес»; год 2018 по сниппету. Бренд «Мой бизнес» мог появиться позже.",date_NOT_found_on_page (snippet/headline-based)
Республика Марий Эл,88,2019-09-03,day,Йошкар-Ола,,new,https://potokmedia.ru/longread2/113923/v-marij-jel-otkrylsja-centr-moj-biznes-dlja-podderzhki-predprinimatelej/,МедиаПоток,regional_media,"Сегодня в столице республики открылся Центр «Мой бизнес», который станет оказывать помощь деловым людям по принципу «одного окна».",high,"Противоречие: МЭР относит Марий Эл к открытым до 01.01.2019 (вероятно, ЦОУ/ЦПП). Также ГТРК Марий Эл: «В Йошкар-Оле открылся центр оказания услуг «Мой бизнес»».",date_found_on_source_page
Республика Мордовия,89,2019-12-27,day,Саранск,,new,http://www.cpprm13.ru/в-саранске-открылся-центр-мой-бизнес/,Центр поддержки предпринимательства РМ,official,В Саранске открылся центр «Мой бизнес»! (заголовок),medium,"Дата 27.12.2019 по поисковому сниппету; страница ЦПП РМ не отдалась напрямую. Адрес: Московская, 14.",page_not_loaded
Республика Саха (Якутия),98,2019-09-20,day,Якутск,,new,https://xn--14-9kcqjffxnf3b.xn--p1ai/news/v-stolitse-respubliki-otkrylsya-ofis-tsentra-moj-biznes/,Портал МСП РС(Я),official,Сейчас мы вместе открываем центральный офис в городе Якутске.,high,"Центральный офис; ЯСИА 20.09.2019. МЭР относит Якутию к открытым 01.01–01.06.2019 (возможно, районные офисы/юрлицо).",date_found_on_source_page
Республика Северная Осетия — Алания,90,2019,year,Владикавказ,,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,medium,"МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019. Точная дата не найдена. ГТРК «Алания» 10.07.2020: центры заработали в районах.",not_checked (precision month/year or no date)
Республика Татарстан,92,2019,year,Казань,2017,renamed,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,medium,"МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019. Флагманский МФЦ для бизнеса в Доме предпринимателя (Петербургская, 28) работает с 2017 г.; центр «Мой бизнес» сформирован на его базе + ЦПП (ФППРТ). Точная дата не найдена.",not_checked (precision month/year or no date)
Республика Тыва,93,2019,year,Кызыл,,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,medium,"МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019. Точная дата не найдена.",not_checked (precision month/year or no date)
Удмуртская Республика,94,,,Ижевск,,,https://madeinudmurtia.ru/cpp/info/,Корпорация развития УР,official,,low,"Дата не найдена. Центр на базе АНО «Корпорация развития УР» (Пушкинская, 247а); ЦПП работает с 2014. Искали: «Ижевск центр Мой бизнес открылся 2019/2020».",not_checked (precision month/year or no date)
Республика Хакасия,95,,,Абакан,,,https://xn--19-9kcqjffxnf3b.xn--p1ai/,Мойбизнес19.рф,official,,low,"Дата не найдена (Фонд развития Хакасии, пр. Дружбы народов 2а; мероприятия с 2018). Искали: «Абакан центр Мой бизнес открылся», «Хакасия открытие центра Мой бизнес 2019/2020».",not_checked (precision month/year or no date)
Чеченская Республика,96,2019-12-26,day,Грозный,,new,https://tass.ru/ekonomika/7429177,ТАСС,federal_media,"Первый центр ""Мой бизнес"" для поддержки субъектов МСП открылся в Чечне (заголовок)",high,"Также lenta.ru/news/2019/12/26/msp/, grozny-inform.ru/news/economic/115767/.",date_NOT_found_on_page (snippet/headline-based)
Чувашская Республика,97,2020-03,month,Чебоксары,,new,https://chv.aif.ru/society/bolshaya_podderzhka_malomu_v_chuvashii_zarabotal_centr_moy_biznes,АиФ Чебоксары,regional_media,Создана максимально комфортная система поддержки предпринимательства – с марта 2020 года функционирует центр «Мой бизнес».,medium,"Пр. Ленина, 12Б.",not_checked (precision month/year or no date)
Алтайский край,01,2018-11-09,day,Барнаул,,new,http://altfond.tilda.ws/rec,Алтайский фонд МСП,official,"«Открытие центра ""Мой бизнес""» — торжественное открытие 9 ноября в 11:00, Мало-Тобольская, 19",medium,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Год 2018 выведен из контекста (список МЭР до 01.01.2019); страница фонда недоступна для прямой верификации.",date_NOT_found_on_page (snippet/headline-based)
