document,year,region,amount_in_source_units,unit_in_source,amount_thous_rub,note
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Адыгея,125755000.0,рублей,125755.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Алтай,243531000.0,рублей,243531.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Башкортостан,361861000.0,рублей,361861.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Бурятия,262100500.0,рублей,262100.5,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Дагестан,268645000.0,рублей,268645.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Ингушетия,229271000.0,рублей,229271.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Кабардино-Балкарская Республика,123875000.0,рублей,123875.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Калмыкия,58450000.0,рублей,58450.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Карачаево-Черкесская Республика,76596000.0,рублей,76596.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Карелия,169378000.0,рублей,169378.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Коми,56611000.0,рублей,56611.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Марий Эл,76905500.0,рублей,76905.5,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Мордовия,120547000.0,рублей,120547.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Саха (Якутия),245050000.0,рублей,245050.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Северная Осетия - Алания,158535000.0,рублей,158535.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Татарстан,585303000.0,рублей,585303.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Тыва,49286000.0,рублей,49286.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Удмуртская Республика,417511000.0,рублей,417511.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Республика Хакасия,80000000.0,рублей,80000.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Чеченская Республика,358080000.0,рублей,358080.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Чувашская Республика,265007304.0,рублей,265007.304,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Алтайский край,318400000.0,рублей,318400.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Забайкальский край,200434000.0,рублей,200434.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Камчатский край,59957000.0,рублей,59957.0,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Краснодарский край,644776358.0,рублей,644776.358,
RP_2012-08-02_N1410-r_raspredelenie_2012,2012,Красноярский край,359729000.0,рублей,359729.0,
